operation,latency,throughput,memory_usage,cpu_usage,data_size_bytes
decryption,2.531240 s,0.016204 KB/s,"{'current': '221.879883 KB', 'peak': '224.356445 KB'}",4.800000 %,42
encryption,0.177748 s,0.225258 KB/s,"{'current': '60.619141 KB', 'peak': '64.357422 KB'}",0.000000 %,41
decryption,2.537087 s,0.015782 KB/s,"{'current': '264.087891 KB', 'peak': '266.324219 KB'}",4.200000 %,41
encryption,0.195972 s,0.279058 KB/s,"{'current': '67.112305 KB', 'peak': '70.752930 KB'}",0.000000 %,56
encryption,0.193289 s,0.282932 KB/s,"{'current': '67.310547 KB', 'peak': '70.919922 KB'}",0.000000 %,56
decryption,2.474455 s,0.016181 KB/s,"{'current': '66.840820 KB', 'peak': '71.896484 KB'}",0.600000 %,41
encryption,0.174314 s,0.235298 KB/s,"{'current': '25.178711 KB', 'peak': '28.581055 KB'}",0.000000 %,42
decryption,2.451198 s,0.016733 KB/s,"{'current': '34.854492 KB', 'peak': '41.206055 KB'}",1.200000 %,42
encryption,0.653115 s,0.319981 KB/s,"{'current': '85.391602 KB', 'peak': '90.837891 KB'}",2.200000 %,214
decryption,2.471213 s,0.084568 KB/s,"{'current': '103.713867 KB', 'peak': '106.229492 KB'}",2.500000 %,214
encryption,2.566218 s,0.328791 KB/s,"{'current': '79.964844 KB', 'peak': '94.074219 KB'}",0.600000 %,864
decryption,2.420671 s,0.348560 KB/s,"{'current': '100.405273 KB', 'peak': '103.552734 KB'}",0.600000 %,864
encryption,2.568984 s,0.328437 KB/s,"{'current': '12.572266 KB', 'peak': '26.316406 KB'}",1.800000 %,864
decryption,2.446636 s,0.344861 KB/s,"{'current': '3.293945 KB', 'peak': '13.639648 KB'}",1.200000 %,864
encryption,2.566389 s,0.328769 KB/s,"{'current': '6.375000 KB', 'peak': '18.864258 KB'}",0.000000 %,864
decryption,2.418242 s,0.348910 KB/s,"{'current': '7.606445 KB', 'peak': '13.755859 KB'}",0.000000 %,864
encryption,2.565333 s,0.328905 KB/s,"{'current': '5.154297 KB', 'peak': '18.669922 KB'}",0.000000 %,864
decryption,2.443333 s,0.345327 KB/s,"{'current': '3.231445 KB', 'peak': '13.389648 KB'}",0.000000 %,864
encryption,2.567369 s,0.328644 KB/s,"{'current': '8.826172 KB', 'peak': '21.370117 KB'}",0.000000 %,864
decryption,2.446715 s,0.344850 KB/s,"{'current': '3.231445 KB', 'peak': '13.639648 KB'}",0.000000 %,864
encryption,2.568061 s,0.328555 KB/s,"{'current': '4.927734 KB', 'peak': '18.669922 KB'}",0.000000 %,864
decryption,2.449919 s,0.344399 KB/s,"{'current': '92.496094 KB', 'peak': '95.573242 KB'}",0.600000 %,864
encryption,2.594313 s,0.325231 KB/s,"{'current': '7.197266 KB', 'peak': '20.287109 KB'}",0.600000 %,864
decryption,2.446208 s,0.344922 KB/s,"{'current': '8.512695 KB', 'peak': '15.193359 KB'}",0.000000 %,864
encryption,2.566982 s,0.328693 KB/s,"{'current': '6.429688 KB', 'peak': '18.973633 KB'}",2.400000 %,864
decryption,2.448097 s,0.344655 KB/s,"{'current': '7.176758 KB', 'peak': '13.755859 KB'}",0.000000 %,864
encryption,2.567064 s,0.328683 KB/s,"{'current': '10.333984 KB', 'peak': '24.132812 KB'}",0.600000 %,864
decryption,2.447793 s,0.344698 KB/s,"{'current': '3.340820 KB', 'peak': '13.389648 KB'}",0.600000 %,864
encryption,2.567682 s,0.328604 KB/s,"{'current': '62.383789 KB', 'peak': '76.014648 KB'}",0.000000 %,864
decryption,2.528239 s,0.333730 KB/s,"{'current': '264.708984 KB', 'peak': '267.776367 KB'}",3.600000 %,864
encryption,2.566696 s,0.328730 KB/s,"{'current': '6.808594 KB', 'peak': '21.787109 KB'}",0.000000 %,864
decryption,2.512285 s,0.335850 KB/s,"{'current': '7.407227 KB', 'peak': '18.463867 KB'}",3.700000 %,864
encryption,2.567527 s,0.328624 KB/s,"{'current': '6.142578 KB', 'peak': '18.419922 KB'}",1.200000 %,864
decryption,2.502458 s,0.337169 KB/s,"{'current': '7.903320 KB', 'peak': '18.209961 KB'}",3.000000 %,864
encryption,2.568658 s,0.328479 KB/s,"{'current': '5.343750 KB', 'peak': '18.730469 KB'}",0.000000 %,864
decryption,2.539373 s,0.332267 KB/s,"{'current': '7.344727 KB', 'peak': '17.760742 KB'}",2.400000 %,864
encryption,2.567468 s,0.328631 KB/s,"{'current': '7.343750 KB', 'peak': '19.479492 KB'}",0.600000 %,864
decryption,2.513122 s,0.335738 KB/s,"{'current': '7.344727 KB', 'peak': '17.510742 KB'}",2.400000 %,864
encryption,2.568139 s,0.328545 KB/s,"{'current': '4.484375 KB', 'peak': '18.607422 KB'}",0.000000 %,864
encryption,2.537371 s,0.332529 KB/s,"{'current': '4.882812 KB', 'peak': '18.419922 KB'}",0.600000 %,864
encryption,2.572970 s,0.327928 KB/s,"{'current': '32.786133 KB', 'peak': '55.880859 KB'}",0.600000 %,864
decryption,2.458237 s,0.343234 KB/s,"{'current': '33.634766 KB', 'peak': '78.061523 KB'}",0.600000 %,864
encryption,2.569245 s,0.328404 KB/s,"{'current': '5.954102 KB', 'peak': '46.541016 KB'}",1.200000 %,864
decryption,2.451350 s,0.344198 KB/s,"{'current': '3.094727 KB', 'peak': '47.662109 KB'}",0.600000 %,864
encryption,2.567755 s,0.328594 KB/s,"{'current': '5.624023 KB', 'peak': '45.853516 KB'}",1.200000 %,864
decryption,2.451451 s,0.344184 KB/s,"{'current': '3.094727 KB', 'peak': '47.662109 KB'}",0.600000 %,864
encryption,2.574645 s,0.327715 KB/s,"{'current': '10.594727 KB', 'peak': '45.853516 KB'}",1.200000 %,864
decryption,2.433990 s,0.346653 KB/s,"{'current': '3.204102 KB', 'peak': '47.771484 KB'}",1.900000 %,864
encryption,2.590991 s,0.325648 KB/s,"{'current': '4.239258 KB', 'peak': '45.853516 KB'}",1.200000 %,864
decryption,2.450788 s,0.344277 KB/s,"{'current': '5.774414 KB', 'peak': '50.318359 KB'}",0.600000 %,864
encryption,2.540898 s,0.332068 KB/s,"{'current': '89.490234 KB', 'peak': '101.696289 KB'}",0.600000 %,864
decryption,2.446342 s,0.344903 KB/s,"{'current': '95.700195 KB', 'peak': '98.807617 KB'}",1.200000 %,864
encryption,2.564173 s,0.329053 KB/s,"{'current': '14.052734 KB', 'peak': '27.443359 KB'}",0.600000 %,864
decryption,2.447502 s,0.344739 KB/s,"{'current': '3.293945 KB', 'peak': '13.452148 KB'}",0.000000 %,864
encryption,2.564105 s,0.329062 KB/s,"{'current': '11.050781 KB', 'peak': '23.186523 KB'}",1.200000 %,864
decryption,2.432271 s,0.346898 KB/s,"{'current': '3.231445 KB', 'peak': '13.452148 KB'}",0.000000 %,864
encryption,2.565395 s,0.328897 KB/s,"{'current': '11.283203 KB', 'peak': '24.673828 KB'}",0.600000 %,864
decryption,2.420241 s,0.348622 KB/s,"{'current': '3.231445 KB', 'peak': '13.452148 KB'}",0.000000 %,864
encryption,2.570268 s,0.328273 KB/s,"{'current': '6.048828 KB', 'peak': '19.210938 KB'}",1.200000 %,864
decryption,2.448292 s,0.344628 KB/s,"{'current': '3.340820 KB', 'peak': '13.452148 KB'}",1.200000 %,864
encryption,0.157356 s,0.273067 KB/s,"{'current': '26.610352 KB', 'peak': '30.107422 KB'}",7.700000 %,44
decryption,2.445306 s,0.016374 KB/s,"{'current': '32.863281 KB', 'peak': '39.327148 KB'}",1.200000 %,41
encryption,2.570163 s,0.328287 KB/s,"{'current': '6.415039 KB', 'peak': '47.181641 KB'}",1.800000 %,864
decryption,2.418503 s,0.348873 KB/s,"{'current': '3.422852 KB', 'peak': '48.052734 KB'}",0.600000 %,864
encryption,0.146403 s,0.280155 KB/s,"{'current': '26.053711 KB', 'peak': '29.456055 KB'}",0.000000 %,42
decryption,2.446475 s,0.016765 KB/s,"{'current': '33.081055 KB', 'peak': '39.557617 KB'}",0.600000 %,42
encryption,2.566217 s,0.328791 KB/s,"{'current': '81.259766 KB', 'peak': '94.998047 KB'}",1.200000 %,864
encryption,2.583742 s,0.326561 KB/s,"{'current': '80.087891 KB', 'peak': '94.181641 KB'}",1.200000 %,864
decryption,2.450311 s,0.344344 KB/s,"{'current': '92.495117 KB', 'peak': '95.587891 KB'}",1.900000 %,864
encryption,2.562191 s,0.329308 KB/s,"{'current': '7.212891 KB', 'peak': '20.287109 KB'}",0.600000 %,864
decryption,2.447072 s,0.344800 KB/s,"{'current': '14.075195 KB', 'peak': '20.552734 KB'}",0.600000 %,864
encryption,2.563943 s,0.329083 KB/s,"{'current': '6.445312 KB', 'peak': '18.973633 KB'}",1.200000 %,864
decryption,2.448067 s,0.344660 KB/s,"{'current': '3.231445 KB', 'peak': '13.389648 KB'}",0.600000 %,864
encryption,2.548211 s,0.331115 KB/s,"{'current': '5.169922 KB', 'peak': '18.419922 KB'}",0.000000 %,864
decryption,2.459017 s,0.343125 KB/s,"{'current': '7.176758 KB', 'peak': '13.755859 KB'}",0.000000 %,864
encryption,2.564143 s,0.329057 KB/s,"{'current': '5.169922 KB', 'peak': '18.419922 KB'}",1.200000 %,864
decryption,2.413574 s,0.349585 KB/s,"{'current': '3.340820 KB', 'peak': '13.389648 KB'}",1.900000 %,864
encryption,0.001001 s,0.000000 KB/s,"{'current': '30.559570 KB', 'peak': '31.857422 KB'}",25.200000 %,0
encryption,2.541832 s,0.331946 KB/s,"{'current': '46.016602 KB', 'peak': '58.136719 KB'}",0.600000 %,864
decryption,2.532879 s,0.333119 KB/s,"{'current': '264.958984 KB', 'peak': '268.041992 KB'}",4.800000 %,864
encryption,2.534268 s,0.332936 KB/s,"{'current': '6.535156 KB', 'peak': '21.240234 KB'}",1.800000 %,864
decryption,2.482656 s,0.339858 KB/s,"{'current': '7.797852 KB', 'peak': '17.963867 KB'}",3.100000 %,864
encryption,2.563103 s,0.329191 KB/s,"{'current': '4.947266 KB', 'peak': '18.607422 KB'}",0.600000 %,864
decryption,2.513179 s,0.335730 KB/s,"{'current': '12.774414 KB', 'peak': '19.878906 KB'}",1.800000 %,864
encryption,2.568456 s,0.328505 KB/s,"{'current': '3.671875 KB', 'peak': '18.607422 KB'}",2.400000 %,864
decryption,2.514661 s,0.335532 KB/s,"{'current': '7.903320 KB', 'peak': '18.459961 KB'}",2.400000 %,864
encryption,2.592301 s,0.325483 KB/s,"{'current': '3.484375 KB', 'peak': '18.419922 KB'}",0.600000 %,864
decryption,2.510536 s,0.336084 KB/s,"{'current': '7.391602 KB', 'peak': '17.760742 KB'}",3.000000 %,864
encryption,2.567425 s,0.328637 KB/s,"{'current': '28.504883 KB', 'peak': '56.259766 KB'}",0.600000 %,864
decryption,2.450485 s,0.344320 KB/s,"{'current': '33.883789 KB', 'peak': '78.216797 KB'}",1.200000 %,864
encryption,2.570855 s,0.328198 KB/s,"{'current': '6.649414 KB', 'peak': '47.087891 KB'}",0.600000 %,864
decryption,2.419780 s,0.348689 KB/s,"{'current': '3.204102 KB', 'peak': '47.677734 KB'}",1.300000 %,864
encryption,2.564111 s,0.329061 KB/s,"{'current': '5.514648 KB', 'peak': '45.509766 KB'}",0.000000 %,864
decryption,2.447819 s,0.344695 KB/s,"{'current': '6.875977 KB', 'peak': '51.349609 KB'}",0.600000 %,864
encryption,2.564876 s,0.328963 KB/s,"{'current': '4.348633 KB', 'peak': '45.759766 KB'}",0.000000 %,864
decryption,2.448318 s,0.344624 KB/s,"{'current': '3.204102 KB', 'peak': '47.677734 KB'}",0.000000 %,864
encryption,2.563945 s,0.329083 KB/s,"{'current': '4.239258 KB', 'peak': '45.759766 KB'}",0.600000 %,864
decryption,2.450483 s,0.344320 KB/s,"{'current': '3.204102 KB', 'peak': '47.677734 KB'}",0.600000 %,864
encryption,2.567230 s,0.328662 KB/s,"{'current': '85.962891 KB', 'peak': '99.679688 KB'}",1.200000 %,864
decryption,2.481546 s,0.340010 KB/s,"{'current': '104.237305 KB', 'peak': '107.430664 KB'}",1.200000 %,864
encryption,2.562653 s,0.329249 KB/s,"{'current': '8.841797 KB', 'peak': '21.539062 KB'}",1.800000 %,864
decryption,2.447253 s,0.344774 KB/s,"{'current': '3.340820 KB', 'peak': '13.452148 KB'}",0.600000 %,864
encryption,2.563130 s,0.329187 KB/s,"{'current': '7.378906 KB', 'peak': '19.530273 KB'}",1.200000 %,864
decryption,2.463109 s,0.342555 KB/s,"{'current': '8.411133 KB', 'peak': '15.193359 KB'}",3.700000 %,864
encryption,2.546946 s,0.331279 KB/s,"{'current': '6.103516 KB', 'peak': '19.226562 KB'}",0.000000 %,864
decryption,2.419668 s,0.348705 KB/s,"{'current': '3.231445 KB', 'peak': '13.702148 KB'}",0.600000 %,864
encryption,2.566239 s,0.328789 KB/s,"{'current': '11.361328 KB', 'peak': '24.689453 KB'}",1.200000 %,864
decryption,2.410823 s,0.349984 KB/s,"{'current': '3.231445 KB', 'peak': '13.452148 KB'}",0.600000 %,864
encryption,1.539324 s,0.324818 KB/s,"{'current': '78.986328 KB', 'peak': '88.350586 KB'}",1.000000 %,512
decryption,2.460347 s,0.203223 KB/s,"{'current': '91.862305 KB', 'peak': '94.611328 KB'}",0.000000 %,512
encryption,1.533600 s,0.326030 KB/s,"{'current': '7.009766 KB', 'peak': '18.003906 KB'}",1.000000 %,512
decryption,2.446310 s,0.204390 KB/s,"{'current': '14.215820 KB', 'peak': '19.494141 KB'}",0.000000 %,512
encryption,1.536205 s,0.325477 KB/s,"{'current': '4.826172 KB', 'peak': '15.941406 KB'}",0.000000 %,512
decryption,2.443566 s,0.204619 KB/s,"{'current': '4.272461 KB', 'peak': '13.389648 KB'}",0.000000 %,512
encryption,1.505161 s,0.332190 KB/s,"{'current': '4.826172 KB', 'peak': '15.941406 KB'}",1.000000 %,512
decryption,2.413144 s,0.207199 KB/s,"{'current': '9.223633 KB', 'peak': '13.958984 KB'}",1.300000 %,512
encryption,1.534316 s,0.325878 KB/s,"{'current': '4.826172 KB', 'peak': '15.941406 KB'}",0.000000 %,512
decryption,2.447473 s,0.204292 KB/s,"{'current': '2.997070 KB', 'peak': '13.639648 KB'}",0.600000 %,512
encryption,1.505155 s,0.332192 KB/s,"{'current': '62.207031 KB', 'peak': '70.803711 KB'}",1.000000 %,512
decryption,2.541466 s,0.196737 KB/s,"{'current': '264.525391 KB', 'peak': '267.264648 KB'}",4.200000 %,512
encryption,1.535920 s,0.325538 KB/s,"{'current': '6.410156 KB', 'peak': '18.894531 KB'}",1.000000 %,512
decryption,2.511684 s,0.199070 KB/s,"{'current': '7.808594 KB', 'peak': '18.213867 KB'}",2.400000 %,512
encryption,1.534888 s,0.325757 KB/s,"{'current': '8.507812 KB', 'peak': '18.457031 KB'}",2.000000 %,512
decryption,2.488003 s,0.200964 KB/s,"{'current': '8.729492 KB', 'peak': '18.213867 KB'}",5.500000 %,512
encryption,1.536882 s,0.325334 KB/s,"{'current': '4.085938 KB', 'peak': '16.128906 KB'}",0.000000 %,512
decryption,2.512418 s,0.199011 KB/s,"{'current': '7.110352 KB', 'peak': '17.510742 KB'}",3.600000 %,512
encryption,1.540127 s,0.324649 KB/s,"{'current': '3.519531 KB', 'peak': '16.375000 KB'}",1.900000 %,512
decryption,2.481589 s,0.201484 KB/s,"{'current': '7.110352 KB', 'peak': '17.760742 KB'}",3.100000 %,512
encryption,1.547015 s,0.325728 KB/s,"{'current': '28.438477 KB', 'peak': '37.240234 KB'}",1.000000 %,516
encryption,1.552008 s,0.324680 KB/s,"{'current': '2.555664 KB', 'peak': '27.702148 KB'}",0.000000 %,516
encryption,1.547580 s,0.325609 KB/s,"{'current': '2.520508 KB', 'peak': '27.594727 KB'}",1.000000 %,516
decryption,2.418848 s,0.206710 KB/s,"{'current': '33.430664 KB', 'peak': '59.365234 KB'}",1.300000 %,512
encryption,1.547866 s,0.325549 KB/s,"{'current': '7.047852 KB', 'peak': '29.659180 KB'}",0.000000 %,516
decryption,2.446814 s,0.204347 KB/s,"{'current': '2.750977 KB', 'peak': '29.282227 KB'}",0.000000 %,512
encryption,1.546014 s,0.325939 KB/s,"{'current': '4.008789 KB', 'peak': '27.844727 KB'}",2.000000 %,516
decryption,2.443633 s,0.204613 KB/s,"{'current': '7.807617 KB', 'peak': '34.338867 KB'}",0.600000 %,512
encryption,1.547482 s,0.325630 KB/s,"{'current': '5.040039 KB', 'peak': '27.594727 KB'}",0.000000 %,516
decryption,2.409226 s,0.207535 KB/s,"{'current': '2.697266 KB', 'peak': '29.228516 KB'}",0.000000 %,512
encryption,1.549347 s,0.325238 KB/s,"{'current': '5.094727 KB', 'peak': '27.594727 KB'}",1.000000 %,516
decryption,2.441551 s,0.204788 KB/s,"{'current': '3.719727 KB', 'peak': '30.250977 KB'}",1.900000 %,512
encryption,2.042228 s,0.327078 KB/s,"{'current': '68.536133 KB', 'peak': '80.847656 KB'}",0.700000 %,684
decryption,2.449668 s,0.204109 KB/s,"{'current': '67.297852 KB', 'peak': '73.469727 KB'}",0.000000 %,512
encryption,2.034649 s,0.328297 KB/s,"{'current': '7.265625 KB', 'peak': '19.547852 KB'}",2.200000 %,684
decryption,2.448831 s,0.204179 KB/s,"{'current': '2.708008 KB', 'peak': '13.702148 KB'}",0.000000 %,512
encryption,2.037423 s,0.327850 KB/s,"{'current': '4.902344 KB', 'peak': '17.805664 KB'}",0.000000 %,684
decryption,2.444828 s,0.204513 KB/s,"{'current': '3.983398 KB', 'peak': '13.452148 KB'}",0.600000 %,512
encryption,2.040003 s,0.327435 KB/s,"{'current': '4.902344 KB', 'peak': '17.555664 KB'}",0.700000 %,684
decryption,2.447315 s,0.204306 KB/s,"{'current': '7.411133 KB', 'peak': '13.452148 KB'}",2.500000 %,512
encryption,2.008446 s,0.332580 KB/s,"{'current': '5.011719 KB', 'peak': '17.555664 KB'}",0.800000 %,684
decryption,2.443269 s,0.204644 KB/s,"{'current': '2.708008 KB', 'peak': '13.452148 KB'}",0.600000 %,512
encryption,1.538943 s,0.324898 KB/s,"{'current': '84.875977 KB', 'peak': '93.675781 KB'}",2.900000 %,512
decryption,2.451824 s,0.203930 KB/s,"{'current': '95.257812 KB', 'peak': '98.087891 KB'}",0.600000 %,512
encryption,1.536996 s,0.325310 KB/s,"{'current': '8.529297 KB', 'peak': '19.201172 KB'}",0.000000 %,512
decryption,2.415445 s,0.207001 KB/s,"{'current': '6.895508 KB', 'peak': '13.702148 KB'}",0.600000 %,512
encryption,1.559212 s,0.320675 KB/s,"{'current': '5.759766 KB', 'peak': '16.498047 KB'}",1.000000 %,512
decryption,2.441703 s,0.204775 KB/s,"{'current': '8.108398 KB', 'peak': '13.452148 KB'}",0.000000 %,512
encryption,1.535726 s,0.325579 KB/s,"{'current': '5.759766 KB', 'peak': '16.498047 KB'}",1.000000 %,512
decryption,2.405949 s,0.207818 KB/s,"{'current': '2.887695 KB', 'peak': '13.452148 KB'}",0.000000 %,512
encryption,1.537631 s,0.325176 KB/s,"{'current': '5.759766 KB', 'peak': '16.498047 KB'}",0.000000 %,512
decryption,2.444898 s,0.204508 KB/s,"{'current': '6.833008 KB', 'peak': '13.452148 KB'}",0.000000 %,512
encryption,0.806397 s,0.310021 KB/s,"{'current': '79.440430 KB', 'peak': '86.027344 KB'}",0.000000 %,256
decryption,2.423070 s,0.103175 KB/s,"{'current': '91.902344 KB', 'peak': '94.374023 KB'}",1.300000 %,256
encryption,0.799067 s,0.312865 KB/s,"{'current': '6.564453 KB', 'peak': '17.476562 KB'}",1.800000 %,256
decryption,2.447256 s,0.102155 KB/s,"{'current': '2.637695 KB', 'peak': '13.389648 KB'}",0.600000 %,256
encryption,0.798570 s,0.313060 KB/s,"{'current': '4.576172 KB', 'peak': '15.664062 KB'}",0.000000 %,256
decryption,2.417962 s,0.103393 KB/s,"{'current': '7.890625 KB', 'peak': '13.389648 KB'}",0.600000 %,256
encryption,0.773455 s,0.323225 KB/s,"{'current': '5.817383 KB', 'peak': '15.414062 KB'}",0.000000 %,256
decryption,2.425578 s,0.103068 KB/s,"{'current': '2.747070 KB', 'peak': '13.389648 KB'}",0.600000 %,256
encryption,0.771378 s,0.324096 KB/s,"{'current': '4.576172 KB', 'peak': '15.414062 KB'}",0.000000 %,256
decryption,2.417818 s,0.103399 KB/s,"{'current': '2.747070 KB', 'peak': '13.389648 KB'}",0.600000 %,256
encryption,1.543527 s,0.323933 KB/s,"{'current': '84.350586 KB', 'peak': '92.108398 KB'}",3.900000 %,512
decryption,2.705958 s,0.092389 KB/s,"{'current': '234.613281 KB', 'peak': '238.423828 KB'}",10.700000 %,256
encryption,1.539484 s,0.324784 KB/s,"{'current': '11.928711 KB', 'peak': '23.753906 KB'}",1.000000 %,512
decryption,2.649839 s,0.094345 KB/s,"{'current': '13.188477 KB', 'peak': '27.664062 KB'}",8.700000 %,256
encryption,1.539075 s,0.324870 KB/s,"{'current': '5.039062 KB', 'peak': '17.149414 KB'}",0.000000 %,512
decryption,2.674518 s,0.093475 KB/s,"{'current': '12.877930 KB', 'peak': '27.376953 KB'}",10.900000 %,256
encryption,1.542064 s,0.324241 KB/s,"{'current': '8.281250 KB', 'peak': '16.719727 KB'}",0.000000 %,512
decryption,2.686759 s,0.093049 KB/s,"{'current': '7.477539 KB', 'peak': '21.972656 KB'}",9.100000 %,256
encryption,1.542281 s,0.324195 KB/s,"{'current': '4.609375 KB', 'peak': '16.719727 KB'}",1.000000 %,512
decryption,2.677520 s,0.093370 KB/s,"{'current': '8.563477 KB', 'peak': '23.062500 KB'}",8.000000 %,256
encryption,0.802189 s,0.311647 KB/s,"{'current': '61.735352 KB', 'peak': '67.804688 KB'}",0.000000 %,256
decryption,2.519880 s,0.099211 KB/s,"{'current': '272.541992 KB', 'peak': '275.074219 KB'}",4.200000 %,256
encryption,0.770739 s,0.324364 KB/s,"{'current': '6.160156 KB', 'peak': '18.367188 KB'}",0.000000 %,256
decryption,2.517791 s,0.099293 KB/s,"{'current': '7.375977 KB', 'peak': '18.213867 KB'}",4.300000 %,256
encryption,0.770392 s,0.324510 KB/s,"{'current': '3.023438 KB', 'peak': '15.601562 KB'}",1.900000 %,256
decryption,2.509863 s,0.099607 KB/s,"{'current': '7.347656 KB', 'peak': '17.963867 KB'}",3.600000 %,256
encryption,0.772385 s,0.323673 KB/s,"{'current': '5.459961 KB', 'peak': '15.414062 KB'}",1.900000 %,256
decryption,2.514642 s,0.099418 KB/s,"{'current': '7.618164 KB', 'peak': '17.510742 KB'}",2.400000 %,256
encryption,0.800196 s,0.312423 KB/s,"{'current': '3.023438 KB', 'peak': '15.851562 KB'}",0.000000 %,256
decryption,2.495594 s,0.100177 KB/s,"{'current': '7.618164 KB', 'peak': '17.510742 KB'}",4.300000 %,256
encryption,0.809419 s,0.311277 KB/s,"{'current': '28.077148 KB', 'peak': '33.723633 KB'}",1.800000 %,258
decryption,2.448509 s,0.102103 KB/s,"{'current': '33.180664 KB', 'peak': '48.221680 KB'}",0.000000 %,256
encryption,0.802464 s,0.313974 KB/s,"{'current': '6.034180 KB', 'peak': '18.567383 KB'}",0.000000 %,258
decryption,2.447233 s,0.102156 KB/s,"{'current': '7.766602 KB', 'peak': '24.112305 KB'}",2.500000 %,256
encryption,0.801369 s,0.314403 KB/s,"{'current': '3.975586 KB', 'peak': '17.315430 KB'}",5.500000 %,258
decryption,2.418636 s,0.103364 KB/s,"{'current': '2.667969 KB', 'peak': '19.037109 KB'}",0.000000 %,256
encryption,0.771695 s,0.326493 KB/s,"{'current': '4.998047 KB', 'peak': '17.208008 KB'}",0.000000 %,258
decryption,2.448961 s,0.102084 KB/s,"{'current': '7.743164 KB', 'peak': '24.112305 KB'}",1.900000 %,256
encryption,0.771075 s,0.326756 KB/s,"{'current': '3.756836 KB', 'peak': '17.208008 KB'}",0.000000 %,258
decryption,2.446716 s,0.102178 KB/s,"{'current': '2.610352 KB', 'peak': '19.002930 KB'}",0.000000 %,256
encryption,1.049332 s,0.320144 KB/s,"{'current': '68.160156 KB', 'peak': '75.847656 KB'}",1.400000 %,344
decryption,2.450404 s,0.102024 KB/s,"{'current': '67.266602 KB', 'peak': '72.829102 KB'}",0.600000 %,256
encryption,1.043667 s,0.321882 KB/s,"{'current': '6.792969 KB', 'peak': '18.133789 KB'}",0.000000 %,344
decryption,2.428127 s,0.102960 KB/s,"{'current': '7.715820 KB', 'peak': '13.452148 KB'}",1.900000 %,256
encryption,1.047571 s,0.320682 KB/s,"{'current': '4.679688 KB', 'peak': '15.891602 KB'}",0.000000 %,344
decryption,2.447608 s,0.102141 KB/s,"{'current': '3.624023 KB', 'peak': '13.452148 KB'}",1.200000 %,256
encryption,1.043432 s,0.321954 KB/s,"{'current': '4.679688 KB', 'peak': '16.141602 KB'}",1.400000 %,344
decryption,2.466629 s,0.101353 KB/s,"{'current': '2.348633 KB', 'peak': '13.452148 KB'}",0.000000 %,256
encryption,1.043468 s,0.321943 KB/s,"{'current': '4.679688 KB', 'peak': '15.891602 KB'}",0.000000 %,344
decryption,2.419351 s,0.103334 KB/s,"{'current': '7.137695 KB', 'peak': '13.452148 KB'}",0.600000 %,256
encryption,0.805999 s,0.310174 KB/s,"{'current': '85.330078 KB', 'peak': '91.540039 KB'}",1.800000 %,256
decryption,2.423764 s,0.103145 KB/s,"{'current': '95.325195 KB', 'peak': '97.827148 KB'}",0.600000 %,256
encryption,0.801750 s,0.311818 KB/s,"{'current': '8.083984 KB', 'peak': '18.369141 KB'}",0.000000 %,256
decryption,2.422527 s,0.103198 KB/s,"{'current': '2.700195 KB', 'peak': '13.452148 KB'}",0.000000 %,256
encryption,0.772072 s,0.323804 KB/s,"{'current': '5.509766 KB', 'peak': '15.970703 KB'}",0.000000 %,256
decryption,2.444242 s,0.102281 KB/s,"{'current': '7.851562 KB', 'peak': '13.702148 KB'}",0.000000 %,256
encryption,0.800779 s,0.312196 KB/s,"{'current': '6.750977 KB', 'peak': '15.970703 KB'}",0.000000 %,256
decryption,2.443546 s,0.102310 KB/s,"{'current': '2.637695 KB', 'peak': '13.452148 KB'}",0.600000 %,256
encryption,0.826012 s,0.302659 KB/s,"{'current': '5.509766 KB', 'peak': '16.220703 KB'}",1.800000 %,256
decryption,2.454246 s,0.101864 KB/s,"{'current': '7.012695 KB', 'peak': '13.452148 KB'}",1.900000 %,256
encryption,0.445769 s,0.280415 KB/s,"{'current': '82.832031 KB', 'peak': '88.188477 KB'}",0.000000 %,128
decryption,2.417759 s,0.051701 KB/s,"{'current': '95.675781 KB', 'peak': '98.022461 KB'}",0.000000 %,128
encryption,0.418071 s,0.298993 KB/s,"{'current': '6.013672 KB', 'peak': '16.976562 KB'}",0.000000 %,128
decryption,2.446571 s,0.051092 KB/s,"{'current': '2.891602 KB', 'peak': '13.389648 KB'}",0.600000 %,128
encryption,0.418170 s,0.298922 KB/s,"{'current': '3.763672 KB', 'peak': '15.164062 KB'}",0.000000 %,128
decryption,2.417176 s,0.051713 KB/s,"{'current': '7.864258 KB', 'peak': '13.389648 KB'}",0.000000 %,128
encryption,0.418030 s,0.299022 KB/s,"{'current': '3.763672 KB', 'peak': '15.164062 KB'}",0.000000 %,128
decryption,2.444404 s,0.051137 KB/s,"{'current': '3.897461 KB', 'peak': '13.639648 KB'}",0.000000 %,128
encryption,0.417554 s,0.299362 KB/s,"{'current': '4.013672 KB', 'peak': '15.164062 KB'}",3.200000 %,128
decryption,2.443904 s,0.051148 KB/s,"{'current': '2.512695 KB', 'peak': '13.639648 KB'}",0.600000 %,128
encryption,1.543451 s,0.323949 KB/s,"{'current': '84.327148 KB', 'peak': '91.959961 KB'}",1.000000 %,512
decryption,2.706301 s,0.046189 KB/s,"{'current': '229.985352 KB', 'peak': '234.038086 KB'}",10.200000 %,128
