operation,latency,throughput,memory_usage,cpu_usage,data_size_bytes
encryption,0.652666 s,0.320201 KB/s,"{'current': '12.704102 KB', 'peak': '25.572266 KB'}",0.000000 %,214
decryption,2.448607 s,0.085348 KB/s,"{'current': '2.889648 KB', 'peak': '13.702148 KB'}",0.600000 %,214
encryption,0.652807 s,0.320132 KB/s,"{'current': '6.364258 KB', 'peak': '19.286133 KB'}",2.200000 %,214
decryption,2.447746 s,0.085378 KB/s,"{'current': '6.567383 KB', 'peak': '15.510742 KB'}",0.000000 %,214
encryption,0.681069 s,0.306847 KB/s,"{'current': '7.452148 KB', 'peak': '19.348633 KB'}",0.000000 %,214
decryption,2.418799 s,0.086400 KB/s,"{'current': '2.706055 KB', 'peak': '13.452148 KB'}",0.000000 %,214
encryption,0.653698 s,0.319696 KB/s,"{'current': '6.364258 KB', 'peak': '19.536133 KB'}",4.400000 %,214
decryption,2.446390 s,0.085426 KB/s,"{'current': '6.971680 KB', 'peak': '13.452148 KB'}",0.000000 %,214
encryption,0.422216 s,0.296057 KB/s,"{'current': '81.784180 KB', 'peak': '89.278320 KB'}",0.000000 %,128
decryption,2.452292 s,0.050973 KB/s,"{'current': '100.252930 KB', 'peak': '102.654297 KB'}",1.900000 %,128
encryption,0.420035 s,0.297594 KB/s,"{'current': '9.029297 KB', 'peak': '22.254883 KB'}",0.000000 %,128
decryption,2.448184 s,0.051058 KB/s,"{'current': '2.891602 KB', 'peak': '13.389648 KB'}",0.000000 %,128
encryption,0.390053 s,0.320470 KB/s,"{'current': '5.232422 KB', 'peak': '18.622070 KB'}",0.000000 %,128
decryption,2.418155 s,0.051692 KB/s,"{'current': '6.458008 KB', 'peak': '13.389648 KB'}",0.600000 %,128
encryption,0.447985 s,0.279027 KB/s,"{'current': '4.810547 KB', 'peak': '18.200195 KB'}",3.100000 %,128
decryption,2.475556 s,0.050494 KB/s,"{'current': '7.733398 KB', 'peak': '13.639648 KB'}",0.600000 %,128
encryption,0.418792 s,0.298478 KB/s,"{'current': '5.294922 KB', 'peak': '18.684570 KB'}",0.000000 %,128
decryption,2.448127 s,0.051059 KB/s,"{'current': '6.458008 KB', 'peak': '13.389648 KB'}",0.000000 %,128
encryption,1.445761 s,0.172919 KB/s,"{'current': '232.574219 KB', 'peak': '240.261719 KB'}",43.800000 %,256
decryption,2.539461 s,0.049223 KB/s,"{'current': '227.338867 KB', 'peak': '229.778320 KB'}",4.200000 %,128
encryption,3.045139 s,0.082098 KB/s,"{'current': '44.087891 KB', 'peak': '58.514648 KB'}",73.900000 %,256
decryption,2.515487 s,0.049692 KB/s,"{'current': '6.500977 KB', 'peak': '17.799805 KB'}",2.400000 %,128
encryption,2.047808 s,0.122082 KB/s,"{'current': '14.763672 KB', 'peak': '25.889648 KB'}",58.100000 %,256
decryption,2.514474 s,0.049712 KB/s,"{'current': '10.207031 KB', 'peak': '18.018555 KB'}",3.000000 %,128
encryption,1.362141 s,0.183535 KB/s,"{'current': '11.465820 KB', 'peak': '25.022461 KB'}",39.600000 %,256
decryption,2.482436 s,0.050354 KB/s,"{'current': '7.239258 KB', 'peak': '18.538086 KB'}",4.900000 %,128
encryption,1.610570 s,0.155225 KB/s,"{'current': '12.958984 KB', 'peak': '25.838867 KB'}",49.500000 %,256
decryption,2.534962 s,0.049310 KB/s,"{'current': '6.047852 KB', 'peak': '17.346680 KB'}",2.400000 %,128
encryption,2.044552 s,0.061138 KB/s,"{'current': '272.995117 KB', 'peak': '280.495117 KB'}",79.100000 %,128
